entity,reference,name,organisation_name,organisation_entity,resource_start_date
7010002454,148382,"Land at Green Street Farm, Herts and Bucks border - Highway access.",Buckinghamshire Council,67,2024-10-03
7010002455,148376,"Land at Wycombe Heath Farm, Spurlands End - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002456,148377,"Land at Wycombe Heath Farm, Spurlands End - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002457,857384,"Land at Collum Green, Beaconsfield Road, Farnham Common - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002458,859188,"Land off North Orbital Road, Denham - Caravan Site",Buckinghamshire Council,67,2024-10-03
7010002459,859789,"Land at George Green, Wexham, Bucks - Development",Buckinghamshire Council,67,2024-10-03
7010002460,859888,"Land at Home Farm, School Lane, S.Poges - Development",Buckinghamshire Council,67,2024-10-03
7010002461,859990,Land at Beaconsfield - Eggs and Poultry,Buckinghamshire Council,67,2024-10-03
7010002462,148359,"Land at Sibleys Coppice, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002463,148365,"Land at Skimmers Orchard, Holmer Green - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002464,148309,Part of OS parcel 6961 to West of Amersham Road - Provision of hard surface.,Buckinghamshire Council,67,2024-10-03
7010002465,148361,OS parcel 3313 north of Welders Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002466,148378,"Land North of Mill Farm, Chenies Bottom - Means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002467,148304,Land at Wyburn Wood off Amersham Road - Forestry.,Buckinghamshire Council,67,2024-10-03
7010002468,148352,OS Parcel 262 - Enclosure.,Buckinghamshire Council,67,2024-10-03
7010002469,148322,Land South of A413 in Little Missenden - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002470,148340,Land to the South of Ballinger Road - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002471,203319,,Buckinghamshire Council,67,2024-10-03
7010002472,148364,"Land at Skimmers Orchard, Holmer Green - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002473,148325,"Land South of Coneybank Wood, Great Missenden - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002474,148354,"Land to the East of Jasons Hill, Ley Hill - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002475,148294,Land off Hazelmere Road - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002476,859485,"Alderbourne Farm, Fulmer - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002477,859686,"Land between Bakers Wood and Broken Gate Lane, Denham - the erection, construction, maintenance, improvement or alteration of a gate, fence, wall or other means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002478,148278,Land at Misbourne Valley - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002479,148392,Land at Misbourne Valley - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002480,148317,"Land Northwest of Farm Road, Little Chalfont - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002481,148362,Re Land West of Lodge Lane - caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002482,148305,"Land at Green Street Farm, Herts and Bucks border - Highway access.",Buckinghamshire Council,67,2024-10-03
7010002483,148380,Land at Wyburn Wood off Amersham Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002484,148298,Land off Bois Moor Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002485,148324,Land surrounding Hollow Way btwn Chesham and Pednor - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002486,148387,"Land off Pednor Road, Chesham - Means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002487,148375,OS Parcel 262 - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002488,148341,Land to north of Ballinger Road - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002489,224397,,Buckinghamshire Council,67,2024-10-03
7010002490,148339,In the area of Wigginton - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002491,148334,Land to the South side of Swan Bottom - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002492,148332,Land Surrounding Asheridge Road - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002493,857786,"Land on the West and North-East sides of St Huberts Lane, Gerrards Cross - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002494,857886,"Land on the North Side of Seven Hills Road, Iver - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002495,858889,"Land in Fulmer, Bucks - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002496,859584,"Land to the west of Wexham Street, Stoke Poges - Markets",Buckinghamshire Council,67,2024-10-03
7010002497,1033038,Direction made by Bucks County Council dated 25/03/1959 and approved on 23/04/1959 under article 4 of the Town and Country Planning General Development Order 1950 that the permission granted by the Article 3 of the order shall not apply within the area o,Buckinghamshire Council,67,2024-10-03
7010002498,148358,Small parcel of land East of Lodge Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002499,148390,3 parcels of land surrounding Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002500,148388,"Land to the West of Jasons Hill, Ley Hill - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002501,148323,Land Surrounding Pednor High Road - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002502,148338,"Land off Chesham Road, Bellingdon - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002503,148330,"Land North and East of Savecroft Farm, Bellingdon. In Relation to means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002504,148308,OS parcel 6961 to West of Amersham Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002505,148285,Land between Potkiln Lane and Layters Green Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002506,148373,"Land at Spurlands End, Beech Tree Road cross-roads - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002507,148292,Land to the South of Penfold Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002508,148356,"Land at Common Wood, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002509,148389,Land West of Amersham Road OS parcels 8050 and 8750 - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002510,148315,"Land at Green Street Farm, Herts and Bucks border - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002511,859089,"Boundary Road, Land at Hill Farm, Taplow - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002512,859189,"Parkspring Wood, Fulmer - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002513,857887,Land on South Side of Kiln Lane Hedgerley - Agricultural,Buckinghamshire Council,67,2024-10-03
7010002514,859890,"Land between Lake End road and Huntercombe Lane South, Burnham - Development",Buckinghamshire Council,67,2024-10-03
7010002515,859889,"Land West of Mansion Lane, Immediately South of Iverdale Close, Iver - Development",Buckinghamshire Council,67,2024-10-03
7010002516,148371,"Area of Watchet Road, High Wycombe, edge of Chiltern District - poultry.",Buckinghamshire Council,67,2024-10-03
7010002517,148275,Amersham Train Station - Development near the train station,Buckinghamshire Council,67,2024-10-03
7010002518,148386,Land West of Lodge Lane - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002519,148391,3 parcels of land surrounding Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002520,148286,"Land off Gold Hill North, Chalfont St Peter - Residential extension, building and curtilage.",Buckinghamshire Council,67,2024-10-03
7010002521,148290,Land East of Roberts Wood Drive - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002522,148368,Land to the East side of Roberts Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002523,148303,Land north of A404 - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002524,148366,Land between Pednor Road and Drydell Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002525,164406,,Buckinghamshire Council,67,2024-10-03
7010002526,148336,"Land at Swan Bottom, OS parcel 2216 - Agricultural Buildings and means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002527,148342,Land to north of Ballinger Road - caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002528,148353,"Land to North East of Potter Row, Great Missenden - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002529,148384,"Land nr Gravelly Way, Penn - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002530,148328,Land off Broadview Chesham - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002531,857387,"Land South of Hollybush Corner, Farnham Common - Agricultural",Buckinghamshire Council,67,2024-10-03
7010002532,859484,"Rectory Area, Beaconsfield - Construction/Alteration works",Buckinghamshire Council,67,2024-10-03
7010002533,859585,"Land at Bakers Wood, Denham - the erection, construction, maintenance, improvement or alteration of a gate, fence, wall or other means of enclosure",Buckinghamshire Council,67,2024-10-03
7010004069,35,"Land to the East of Jasons Hill, Ley Hill - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004070,36,"Land on East side of Latimer Village, on Herts Bucks border - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010004071,37,"Land at Mount Wood Farm - Enclosure, access, mining, caravan sites, recreation, forestry, buildings and minerals.",Buckinghamshire Council,67,2024-10-03
7010004072,1,Eight OS parcels North of Asheridge Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004073,2,Eight OS parcels North of Asheridge Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004074,3,Eight OS parcels North of Asheridge Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004075,4,"Land to the north of Long Park, Chesham Bois - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004076,5,Amersham Train Station - Development near the train station,Buckinghamshire Council,67,2024-10-03
7010004077,6,Land South of A413 in Little Missenden - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004078,7,"OS parcel 1178, 1179. SE of Asheridge Farm - Restriction to camping.",Buckinghamshire Council,67,2024-10-03
7010004079,38,Land north of A404 - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004080,39,Land at Wyburn Wood off Amersham Road - Forestry.,Buckinghamshire Council,67,2024-10-03
7010004081,40,"Land at Green Street Farm, Herts and Bucks border - Highway access.",Buckinghamshire Council,67,2024-10-03
7010004082,63,Land surrounding Hollow Way btwn Chesham and Pednor - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004083,64,"Land South of Coneybank Wood, Great Missenden - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010004084,65,"Land to the North of Blackthorne Lane, Ballinger - agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010004085,66,"Land off Buslins Lane, North of Chesham Road - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010004086,67,Land off Broadview Chesham - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010004087,68,"Land at Johnsons Farm, North of Chesham Road, Bellingdon - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004088,69,"Land North and East of Savecroft Farm, Bellingdon. In Relation to means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004089,52,"Land at Green Street Farm, Herts and Bucks border - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004090,54,3 parcels of land surrounding Lodge Lane - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010004091,55,"Land Northwest of Farm Road, Little Chalfont - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010004092,57,"Land North of Mill Farm, Chenies Bottom - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010004093,58,"Strip Land at Sedges Farm, Great Missenden - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004094,59,"OS Parcel 5200, Windsor Lane, Little Kingshill - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004095,60,"Land below Chalk Lane, Hyde Heath - agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010004096,61,Land South of A413 in Little Missenden - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004097,62,Land Surrounding Pednor High Road - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004098,84,Land to north of Ballinger Road - caravan sites.,Buckinghamshire Council,67,2024-10-03
7010004099,70,"OS Parcels 3100, 2829 - Means of enclosure and agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004100,71,Land Surrounding Asheridge Road - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004101,72,"OS parcel 8349, 6265, 7466, off Bellingdon Road - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004102,74,Land to the South side of Swan Bottom - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010004103,75,"Land at Swan Bottom, OS parcel 4729 - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010004104,76,"Land at Swan Bottom, OS parcel 2216 - Agricultural Buildings and means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004105,78,"OS parcel 1178, 1179, 1180 nr Asheridge Farm - Agricultural Buildings",Buckinghamshire Council,67,2024-10-03
7010004106,79,"Land off Chesham Road, Bellingdon - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004107,81,In the area of Wigginton - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010004108,82,Land to the South of Ballinger Road - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004109,295,Land at Phillipshill Farm off Old Shire Lane and Burtons Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004110,402,Land at Wyburn Wood off Amersham Road - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010004111,296,Land at Wyburn Wood off Amersham Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004112,297,"Land at Green Street Farm, Herts and Bucks border - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004113,298,"Land at Green Street Farm, Herts and Bucks border - Highway access.",Buckinghamshire Council,67,2024-10-03
7010004114,300,"Land to east of Potter Row, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004115,301,"Land nr Gravelly Way, Penn - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004116,302,"Land nr Gravelly Way, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004117,304,Land West of Lodge Lane - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004118,305,"Land off Pednor Road, Chesham - Means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004119,306,"Land to the West of Jasons Hill, Ley Hill - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004120,45,Land West of Amersham Road OS parcels 8050 and 8750 - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004121,353,3 parcels of land surrounding Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010004122,53,3 parcels of land surrounding Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010004123,307,Land at Misbourne Valley - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004124,308,OS parcel 3313 north of Welders Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004125,309,Land East of Lodge Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004126,400,Small parcel of Land East of Lodge Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004127,401,"Land off Amersham Road, nr Turners Wood drive - Residential extension, building and cartilage, means of enclosure and hard surfaces.",Buckinghamshire Council,67,2024-10-03
7010004128,10,"Land North and East of Savecroft Farm, Bellingdon. In Relation to caravans and agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004129,83,Land to north of Ballinger Road - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004130,41,Land Southeast of Finch Lane - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004131,42,Land East of Amersham Road including OS parcel 9269 - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010004132,43,OS parcel 6961 to West of Amersham Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004133,44,Part of OS parcel 6961 to West of Amersham Road - Provision of hard surface.,Buckinghamshire Council,67,2024-10-03
7010004134,46,"Land off Amersham Road, nr Turners Wood drive - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004135,47,Land at Phillipshill Farm off Old Shire Lane and Burtons Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010004136,48,Land East of Amersham Road including OS parcel 0006 - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010004137,49,Land East of Amersham Road including OS parcel 0006 - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004138,51,Land on East Side of Vale Road - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004139,107,"Land at Skimmers Orchard, Holmer Green - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004140,108,Land between Pednor Road and Drydell Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010004141,109,Land between Pednor Road and Drydell Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004142,110,Land to the East side of Roberts Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004143,111,Land East of Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010004144,241,"Area of Watchet Road, High Wycombe, edge of Chiltern District - poultry.",Buckinghamshire Council,67,2024-10-03
7010004145,290,"Land at Spurlands End, Beech Tree Road cross-roads - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004146,291,"Land at Spurlands End, Beech Tree Road cross-roads - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010004147,292,OS Parcel 262 - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010004148,293,"Land at Wycombe Heath Farm, Spurlands End - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004149,294,"Land at Wycombe Heath Farm, Spurlands End - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010004150,8,Land at Misbourne Valley - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010004151,9,"Land at Flamstead Farm, off A416 road - Holding markets.",Buckinghamshire Council,67,2024-10-03
7010004152,13,"Land at Sedges Farm, Great Missenden - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004153,14,"Land at Penn Wood, Beamond End - War Games.",Buckinghamshire Council,67,2024-10-03
7010004154,17,"Land of Twitchells Lane, Jordan - Means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004155,18,Land at junction of Mill Lane and Amersham Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004156,19,"Re Land above Deep Mill Lane, Little Kings Hill - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004157,20,Land between Potkiln Lane and Layters Green Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010004158,21,"Land off Gold Hill North, Chalfont St Peter - Residential extension, building and curtilage.",Buckinghamshire Council,67,2024-10-03
7010004159,22,OS parcel 449a and 447 East off Jordans Lane - Breeding and keeping of poultry.,Buckinghamshire Council,67,2024-10-03
7010004160,23,Land east of Jordans Lane and north of Jordans Farm - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010004161,24,"Land North of Welders Lane, South of Jordans Way - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010004162,25,Land East of Roberts Wood Drive - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004163,26,Land at Wilton Lane - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004164,27,Land to the South of Penfold Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010004165,28,"Land nr Gravelly Way, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004166,29,Land off Hazelmere Road - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004167,30,"Land South of Sheepcote Dell Road, Holmer Green, including Land East of Earl Howe Road - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004168,31,"Land South of Sheepcote Dell Road, Holmer Green, including Land East of Earl Howe Road - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010004169,32,"Land at Penn Wood, Beamond End - off road vehicles.",Buckinghamshire Council,67,2024-10-03
7010004170,33,Land off Bois Moor Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004171,34,"Land off Botley Road, Chesham - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010004172,56,"Land surrounding Nightingales Lane, 2290 meter long strip - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004173,289,"Land off Kings Ash, The Lee - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010004174,112,Whole District excluding the Town of Chesham - Poultry production.,Buckinghamshire Council,67,2024-10-03
7010004175,85,"Land southern side Chartridge Lane, between Chartridge - Pednor Bottom - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010004176,86,"OS parcels 1384, 1347, 1369, 1367, Southern side Chartridge Lane - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010004177,87,"Land off Chartridge Lane, Chartridge - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010004178,88,"OS parcels 1274, 1279, 1329, Northern side Chartridge Lane - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010004179,89,Land to the South of Little Missenden - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004180,90,Land at Beamond End Farm - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010004181,91,"Land near Shardeloes House - Dwellings, enclosure, access, caravans/camping, motor racing and mineral working.",Buckinghamshire Council,67,2024-10-03
7010004182,92,"Land to South of Kiln Lane, Ley Hill - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010004183,93,OS Parcel 262 - Caravan Sites.,Buckinghamshire Council,67,2024-10-03
7010004184,94,OS Parcel 262 - Enclosure.,Buckinghamshire Council,67,2024-10-03
7010004185,95,"Land to North East of Potter Row, Great Missenden - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010004186,96,"Land to the East of Jasons Hill, Ley Hill - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004187,97,Land at rear of Chessfield Park - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010004188,98,"Land at Common Wood, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004189,99,"Land off Pednor Road, Chesham - Caravan Sites.",Buckinghamshire Council,67,2024-10-03
7010004190,100,Small parcel of land East of Lodge Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010004191,101,"Land at Sibleys Coppice, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004192,102,"Land at The Coppice, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010004193,103,OS parcel 3313 north of Welders Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010004194,104,Re Land West of Lodge Lane - caravan sites.,Buckinghamshire Council,67,2024-10-03
7010004195,105,"Land at Skimmers Orchard, Holmer Green - motor racing.",Buckinghamshire Council,67,2024-10-03
7010004196,106,"Land at Skimmers Orchard, Holmer Green - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010004197,314,Article_4_Direction_s__Aylesbury_Vale_.2,Buckinghamshire Council,67,2024-10-03
7010004198,320,Article_4_Direction_s__Aylesbury_Vale_.21,Buckinghamshire Council,67,2024-10-03
7010004199,390975,Article_4_Direction_s__Aylesbury_Vale_.7,Buckinghamshire Council,67,2024-10-03
7010004200,186731,Article_4_Direction_s__Aylesbury_Vale_.9,Buckinghamshire Council,67,2024-10-03
7010004201,321,Article_4_Direction_s__Aylesbury_Vale_.18,Buckinghamshire Council,67,2024-10-03
7010004202,285884,Article_4_Direction_s__Aylesbury_Vale_.13,Buckinghamshire Council,67,2024-10-03
7010004203,287247,Article_4_Direction_s__Aylesbury_Vale_.14,Buckinghamshire Council,67,2024-10-03
7010004204,319,Article_4_Direction_s__Aylesbury_Vale_.31,Buckinghamshire Council,67,2024-10-03
7010004205,318,Article_4_Direction_s__Aylesbury_Vale_.27,Buckinghamshire Council,67,2024-10-03
7010004206,312,Article_4_Direction_s__Aylesbury_Vale_.17,Buckinghamshire Council,67,2024-10-03
7010004207,315,Article_4_Direction_s__Aylesbury_Vale_.19,Buckinghamshire Council,67,2024-10-03
7010004208,311,Article_4_Direction_s__Aylesbury_Vale_.20,Buckinghamshire Council,67,2024-10-03
7010004209,310,Article_4_Direction_s__Aylesbury_Vale_.23,Buckinghamshire Council,67,2024-10-03
7010004210,317,Article_4_Direction_s__Aylesbury_Vale_.24,Buckinghamshire Council,67,2024-10-03
7010004211,316,Article_4_Direction_s__Aylesbury_Vale_.25,Buckinghamshire Council,67,2024-10-03
7010004212,313,Article_4_Direction_s__Aylesbury_Vale_.26,Buckinghamshire Council,67,2024-10-03
7010004213,889510,Article_4_Direction_s__Aylesbury_Vale_.29,Buckinghamshire Council,67,2024-10-03
7010004214,889511,Article_4_Direction_s__Aylesbury_Vale_.30,Buckinghamshire Council,67,2024-10-03
7010004215,865320,Article_4_Direction_s__Aylesbury_Vale_.32,Buckinghamshire Council,67,2024-10-03
7010004216,889403,Article_4_Direction_s__Aylesbury_Vale_.33,Buckinghamshire Council,67,2024-10-03
7010004013,ART4028,Article 4 Direction,Horsham District Council,171,2024-09-28
7010004029,ART4021,Article 4 Direction,Horsham District Council,171,2024-09-28
7010004034,ART4009,Article 4 Direction,Horsham District Council,171,2024-09-28
7010004044,ART4029,Article 4 Direction,Horsham District Council,171,2024-09-28
7010002616,AR4HMO,Article 4 (HMO) Boundary - Came into force 14 October 2019,Doncaster Metropolitan Borough Council,109,2024-02-07
7010002273,{C1444F04-436C-419C-81DD-62B7082BDABC},,Northumberland County Council,220,2024-08-09
7010002274,{E3F13C33-802B-47A6-BE44-146773F1A841},,Northumberland County Council,220,2024-08-09
7010002275,{D5218EA7-D93A-40BB-BCA6-AD2BDE95E7EC},,Northumberland County Council,220,2024-08-09
7010002276,{E34B9243-C78E-497C-BD35-47F0A3C018F4},,Northumberland County Council,220,2024-08-09
7010002277,{69E8109E-F3DF-4BF7-81E7-99936B5A9A2E},,Northumberland County Council,220,2024-08-09
7010002278,{34A515CD-6F70-4125-AEED-F938F73C145C},,Northumberland County Council,220,2024-08-09
7010002279,{1BEDA65D-CCED-4026-84E0-19CD8F6DFAE5},,Northumberland County Council,220,2024-08-09
7010002280,{297F9387-4836-4AFD-885F-78E866C2DE08},,Northumberland County Council,220,2024-08-09
7010002281,{08653E28-6943-4E91-A509-8C31AEE39AA8},,Northumberland County Council,220,2024-08-09
7010002282,{FBA906DC-D559-453B-8168-6667B151E792},,Northumberland County Council,220,2024-08-09
7010002283,{163E4607-4CFB-400A-B972-CEEFB17F03E5},,Northumberland County Council,220,2024-08-09
7010002284,{A455AE24-5241-4D5B-8B15-FE2BC8B1F280},,Northumberland County Council,220,2024-08-09
7010002285,{C1DCCFD3-5A71-4748-8223-426CB58846AF},,Northumberland County Council,220,2024-08-09
7010002286,{27D83EF9-3007-49EA-A576-7EFBD1EF3928},,Northumberland County Council,220,2024-08-09
7010002287,{3377EF77-9850-404E-9F7E-33E2D30DDF8C},,Northumberland County Council,220,2024-08-09
7010002288,{C821D412-09BC-4271-ACF5-B33B92006B0E},,Northumberland County Council,220,2024-08-09
7010002289,{06F10F2C-A286-4611-AB0F-851A45B29D95},,Northumberland County Council,220,2024-08-09
7010002290,{B3BBF38C-8614-485E-8B54-DB36B0A11B86},,Northumberland County Council,220,2024-08-09
7010002291,{4C4C4F6A-F254-46CD-A0C7-6DAD6AF29A89},,Northumberland County Council,220,2024-08-09
